| xq | 1 | 2 | 1 | 2 |
| lzj | 4 | 4 | 2 | 3 |
| tty | 6 | 6 | 3 | 4 |
| azd | 6 | 3 | 1 | 3 |
| ytj | 5 | 5 | 2 | 3 |
| lly | 6 | 5 | 5 | 5 |
| cyy | 4 | 5 | 2 | 4 |
| frw | 2 | 3 | 1 | 4 |
| djy | 5 | 4 | 5 | 3 |
| zyx | 7 | 4 | 2 | 6 |
| crj | 4 | 5 | 2 | 1 |
| ylc | 6 | 7 | 1 | 7 |
| xtx | 3 | 5 | 3 | 4 |
| zhp | 5 | 3 | 1 | 4 |
| jjx | 4 | 4 | 2 | 2 |
| lbc | 5 | 4 | 2 | 1 |
| zxy | 5 | 3 | 2 | 2 |
| zyw | 7 | 4 | 4 | 6 |
| lgz | 4 | 5 | 3 | 5 |
| ywt | 3 | 3 | 1 | 4 |
| dyc | 6 | 5 | 6 | 4 |
| lyf | 7 | 5 | 5 | 6 |
| wzz | 6 | 4 | 2 | 5 |
| hmf | 1 | 2 | 1 | 4 |
